id,author,author_channel_id,comment,likes,published_at,parent_id,video_title
UgyOq_b7Iy1MKchAiwx4AaABAg,@jessyjoneselimina2449,UCqQsVxZ_vQlzLcGJ6QR_BrA,dit is insanr,0,2026-05-01T15:11:13Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgxmPlvZ5WJTIGk6ryJ4AaABAg,@ChloeTorres-i2t,UC03AezlntxG4s4Do5wGME9A,Cge,0,2026-05-01T12:02:40Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgxhA6RExTPd2OMxOD14AaABAg,@LeightonRobertson-w1o1h,UC6l_gGq2dKVc53MT6zsUoUA,Am I the only one who noticed the guy from outerbsnks 😅,1,2026-04-29T21:07:29Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
Ugw_-40C1fowckS0t7l4AaABAg,@MainEventCreator,UCC-tnVPhY92kZjldL70GEZw,You never pick people from Zimbabwe,0,2026-04-29T12:08:59Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgxlAfCBDzdL9MvwBcZ4AaABAg,@familyguydayly,UCYH7sEMuJy1b0UOAOcqPYbw,16:15 abby’s pornographic memory came in clutch 🔥🔥🔥,1,2026-04-29T01:54:25Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgxrsMW-vDzHZJDVANl4AaABAg,@jax-p5v6c,UCwrDrummjpBpBB2z6bZHyyg,Yall im here after episode 9 and ready to answer questions,0,2026-04-28T19:20:38Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
Ugz6cIkX7k2M_zaPVBx4AaABAg,@Mark-de-dude,UCo1tP_zdMivpU8f9_J8kBLA,before i watch this let me watch season 1.,0,2026-04-26T10:12:22Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
Ugy31bIFAaDLiAWBCaR4AaABAg,@Abbas-y-xv4,UCexQwCPLFFAVXDhv3xvA1nQ,Give me the chance from Pakistan I will ready for every challenge plz 😢,0,2026-04-25T17:25:45Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgyovbWeedjR0e-yuzt4AaABAg,@JulietteYamaha,UCDgPB8ytIg3d2eWe8ViwBRA,I SAW MICHELLE OVER THERE!! MICHELLE WHO IS MARRIED TO ZACH!!!,0,2026-04-25T11:29:33Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgxDouGLbomTOzrYk_R4AaABAg,@guadalupetorresrodriguez920,UCXFWoNX82xm-G0SYdySyPSw,That’s crazy how there’s no Mexican people in it 🙁,0,2026-04-25T04:21:26Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
